title,scenariste,dessinateur,code_barre,editeur,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"BLUEBERRY : T 01 FORT NAVAJO","","GIRAUD","1000000023183","DARGAUD","Aventure","1998-08-01T00:00:00.000Z",,102318,,,
"APRES LA PLUIE","","JUILLARD","1000000023190","CASTERMAN","Aventure","1998-08-01T00:00:00.000Z",,102319,,,
"POLKA : T 01 LE MAL D'ORPHEE","","SIRO","1000000023206","DARGAUD","Aventure","1998-08-01T00:00:00.000Z",,102320,,,
"LE CERCLE DES SENTINELLES : LES SECRETS DE KAREN","","WURM","1000000023213","CASTERMAN","Aventure","1998-08-01T00:00:00.000Z",,102321,,,
"LE CERCLE DES SENTINELLES : LE LION AILE","","WURM","1000000023220","CASTERMAN","Aventure","1998-08-01T00:00:00.000Z",,102322,,,
"DU COTE DE CHEZ POJE : BRUNE OU BLONDE","","CAUVIN","1000000023237","DUPUIS","Humour","1998-08-01T00:00:00.000Z",,102323,,,
"JUDETTE CAMION : EXCUSEZ-MOI D'ETRE UNE FILLE","","PUCHOL","1000000023244","CASTERMAN","Humour","1998-08-01T00:00:00.000Z",,102324,,,
"LE SUCCULENT DU CHAT","GELUCK","GELUCK","1000000023251","CASTERMAN","Humour","1998-08-01T00:00:00.000Z","2012-04-27T00:00:00.000Z",102325,,,
"LOLO ET SUCETTE : TAPINAGE ARTISTIQUE","HARDY","YANN","1000000023268","DUPUIS","Humour","1998-08-01T00:00:00.000Z",,102326,,,
"JEAN-CLAUDE TERGAL : T 01 GARDE LE MORAL","","TRONCHET","1000000023275","FLUIDE GLACIAL","Humour","1998-08-01T00:00:00.000Z",,102327,,,
"LA PEAU DE CHAGRIN","","VOLINE","1000000023282","ALBIN MICHEL","Erotique","1998-08-01T00:00:00.000Z",,102328,,,
"RED ROAD : T 04 AMERICAN BUFFALOS","","","1000000023299","LOMBARD","Aventure","1998-08-01T00:00:00.000Z",,102329,,,
"RED ROAD : T 05 BUSINESS RODEO","","","1000000023305","LOMBARD","Aventure","1998-08-01T00:00:00.000Z",,102330,,,
"BLOODLINE : T 01","","ANGE","1000000023312","VENTS D'OUEST","Aventure","1998-08-01T00:00:00.000Z",,102331,,,
"DONJON : T 01 CUR DE CANARD","","SFAR","1000000023329","DELCOURT","Humour","1998-08-01T00:00:00.000Z",,102332,,,
"POUR L'AMOUR DE L'ART : T 03 LA COMEDIE ROYALE","LE TENDRE-REY","LE TENDRE-REY","1000000023336","DARGAUD","Aventure","1998-08-01T00:00:00.000Z",,102333,,,
"POUR L'AMOUR DE L'ART : T 04 LES CONVOYEURS","LE TENDRE-REY","LE TENDRE-REY","1000000023343","DARGAUD","Aventure","1998-08-01T00:00:00.000Z",,102334,,,
"WENDIGO : T 01 CELUI QU'ACCOMPAGNENT LES LOUPS","","GALLIE","1000000023350","VENTS D'OUEST","Aventure","1998-08-01T00:00:00.000Z",,102335,,,
"666 : T 03 DEMONIO FORTISSIMO","","FROIDEVAL","1000000023367","ZENDA","Fantastique","1998-08-01T00:00:00.000Z",,102336,,,
"666 : T 04 LILITH IMPERATRIX MUNDI","","FROIDEVAL","1000000023374","ZENDA","Fantastique","1998-08-01T00:00:00.000Z",,102337,,,
"9 TETES : T 01 LA MALLE ECARLATE","","OGER","1000000023381","HUMANOIDES","Fantastique","1998-08-01T00:00:00.000Z",,102338,,,
"LEON LA CAME : PRIEZ POUR NOUS","","DE CRECY","1000000023398","CASTERMAN","Aventure","1998-08-01T00:00:00.000Z",,102339,,,
"DICK HERISSON : LA MAISON DU PENDU","","SAVARD","1000000023404","DARGAUD","Aventure","1998-08-01T00:00:00.000Z",,102340,,,
"LES TOURS DE BOIS MAURY : T 11 ASSUNTA","","","1000000023411","GLENAT","Aventure","1998-08-01T00:00:00.000Z",,102341,,,
"STEPHANE : BELFAST","","CEPPI","1000000023428","CASTERMAN","Aventure","1998-08-01T00:00:00.000Z",,102342,,,
"TROLLS DE TROY : T02 LE SCALP DU VENERABLE","ARLESTON","MOURIER","1000000023435","SOLEIL","Fantastique","1998-10-15T00:00:00.000Z",,102343,,,
"LES FORMIDABLES AVANTURES SANS LAPINOT : ORDINATEUR MON AMI","","TRONDHEIM","1000000023442","DARGAUD","Humour","1998-10-15T00:00:00.000Z",,102344,,,
"ADELE BLANC-SEC : T 08 LE MYSTERE DES PROFONDEURS","TARDI","TARDI","1000000023459","CASTERMAN","Fantastique","1998-10-15T00:00:00.000Z",,102345,,,
"LE SOMMEIL DU MONSTRE","BILAL","BILAL","1000000023466","HUMANOIDES","Fantastique","1998-10-15T00:00:00.000Z",,102346,,,
"FATUM : T 03 L'ULTIME ASSASSIN","FROIDEVAL","FRANCARD","1000000023473","DARGAUD","Fantastique","1998-10-15T00:00:00.000Z",,102347,,,
"GIACOMO C : T 09 L'HEURE QUI TUE","DUFAUX","DUFAUX","1000000023480","GLENAT","Aventure","1998-10-15T00:00:00.000Z",,102348,,,
"DOCK 21 : T 04 LA COLLINE AUX YEUX DE BUICK","MOUNIER","MOUNIER","1000000023497","DARGAUD","Aventure","1998-10-15T00:00:00.000Z",,102349,,,
"JANE","","FALQUE","1000000023503","CASTERMAN","Aventure","1998-10-15T00:00:00.000Z",,102350,,,
"AQUABLUE : T 05 PROJET ATLANTA","CAILLETEAU","TOTA","1000000023510","DELCOURT","Fantastique","1998-10-15T00:00:00.000Z",,102351,,,
"DE SILENCE ET DE SANG : T 11 LE SCEAU DE CAÏN. 1","MITTON","CORTEGIANNI","1000000023527","GLENAT","Aventure","1998-10-15T00:00:00.000Z",,102352,,,
"BALADE AU BOUT DU MONDE : 3° CYCLE D'AVENTURES T 02 BLANCHE","MAKYO","FAURE","1000000023534","GLENAT","Fantastique","1998-10-15T00:00:00.000Z",,102353,,,
"LA QUETE DE L'OISEAU DU TEMPS [AVANT] : T 01 L'AMI JAVIN","LE TENDRE","LOISEL","1000000023541","DARGAUD","Fantastique","1998-10-15T00:00:00.000Z",,102354,,,
"HOROLOGIOM : T 03 NAHEDIG","","","1000000023558","DELCOURT","Fantastique","1998-10-15T00:00:00.000Z",,102355,,,
"LORANNE : T 01 CLOVER","","DIETER","1000000023565","GLENAT","Aventure","1998-10-15T00:00:00.000Z",,102356,,,
"LUKA : T 02 LA PEUR EST LA COULEUR DE LA MORT","MEZZOMO","LAPIERE","1000000023572","DUPUIS","Aventure","1998-10-15T00:00:00.000Z",,102357,,,
"LUKA : T 03 ET J'AI LA HAINE","MEZZOMO","LAPIERE","1000000023589","DUPUIS","Aventure","1998-10-15T00:00:00.000Z",,102358,,,
"LES EAUX DE MORTELUNE : T 09 DE PROFUNDIS","ADAMOV","COTHIAS","1000000023596","GLENAT","Fantastique","1998-10-15T00:00:00.000Z",,102359,,,
"FINKEL : T 05 ORIGINE","CONVARD","CONVARD","1000000023602","DELCOURT","Fantastique","1998-10-15T00:00:00.000Z",,102360,,,
"AZRAYEN : T 01","","LAX","1000000023619","DUPUIS","Aventure","1998-10-15T00:00:00.000Z",,102361,,,
"PATACREPE ET COUILLALERE SONT DE BONS AMIS","","TRONCHET","1000000023626","DELCOURT","Humour","1998-10-15T00:00:00.000Z",,102362,,,
"LES PIONNIERS DU NOUVEAU MONDE : T 11 LE PIEGE DE LA ROCHELLE","CHARLES","ERSEL","1000000023633","GLENAT","Aventure","1998-10-15T00:00:00.000Z",,102363,,,
"ALIX : LES BARBARES","","MARTIN","1000000023640","DARGAUD","Aventure","1998-10-15T00:00:00.000Z",,102364,,,
"PACUSH BLUES : T 10 REMORDS","PTILUC","PTILUC","1000000023657","VENTS D'OUEST","Humour","1998-10-15T00:00:00.000Z",,102365,,,
"LANFEUST DE TROY : T 06 PRINCESSE CIXTIE","ARLESTON","TARQUIN","1000000023664","SOLEIL","Fantastique","1998-10-15T00:00:00.000Z",,102366,,,
"LUKA : T 04 VIES GACHEES, VIES PERDUES","MEZZOMO","LAPIERE","1000000023671","DUPUIS","Aventure","1999-03-05T00:00:00.000Z",,102367,,,
"RED ROAD : T 06 BAD LANDS","","","1000000023688","LOMBARD","Aventure","1999-03-05T00:00:00.000Z",,102368,,,
"RED ROAD : T 07 WAKAN","","","1000000023695","LOMBARD","Aventure","1999-03-05T00:00:00.000Z",,102369,,,
"XIII : T 13 L'ENQUETE","VAN HAMME","VANCE","1000000023701","DARGAUD","Aventure","1999-03-05T00:00:00.000Z",,102370,,,
"AMNESIA : T1 ORPHEE","","MOSDI","1000000023718","LE TEMERAIRE","Fantastique","1999-03-05T00:00:00.000Z",,102371,,,
"FOX : T 07 LOS ALAMOS TRINITY","DUFAUX","DUFAUX","1000000023725","GLENAT","Fantastique","1999-03-05T00:00:00.000Z",,102372,,,
"LA GESTE DES CHEVALIERS DRAGONS : T01 JAINA","ANGE","BRIONES","1000000023732","VENTS D'OUEST","Fantastique","1999-03-05T00:00:00.000Z",,102373,,,
"LE PRINCE DE LA NUIT : T 02 LA QUETE DE L'INQUISITEUR","SWOLFS","SWOLFS","1000000023749","GLENAT","Fantastique","1999-03-05T00:00:00.000Z",,102374,,,
"LE PRINCE DE LA NUIT : T 03 PLEINE LUNE","SWOLFS","SWOLFS","1000000023756","GLENAT","Fantastique","1999-03-05T00:00:00.000Z",,102375,,,
"LE PRINCE DE LA NUIT : T 04 LE JOURNAL DE MAXIMILIEN","SWOLFS","SWOLFS","1000000023763","GLENAT","Fantastique","1999-03-05T00:00:00.000Z",,102376,,,
"LES LUMIERES DE L'AMALOU : L'INTEGRALE","","GIBELIN","1000000023770","DELCOURT","Fantastique","1999-03-05T00:00:00.000Z",,102377,,,
"AGRIPPINE ET L'ANCETRE","","","1000000023787","BRETECHER","Humour","1999-03-05T00:00:00.000Z",,102378,,,
"AGRIPPINE ET LES INCLUS","","","1000000023794","BRETECHER","Humour","1999-03-05T00:00:00.000Z",,102379,,,
