title,code_barre,date_acquis,date_hors_circu,ref,tags
"CUISINE ET VINS DE FRANCE : n.96 FEVRIER-MARS 2004","40320040300010","2004-02-12T00:00:00.000Z",,400224,
"ART ET DÉCORATION : MARS 2004 n.406","4022004030001","2004-02-16T00:00:00.000Z",,400226,
"STUDIO MAGAZINE : MARS 2004 n.198","4122004030008","2004-02-23T00:00:00.000Z",,400227,
"ACTION AUTO MOTO : MARS 2004 n.109","4012004030002","2004-02-24T00:00:00.000Z",,400229,
"100 IDéES JARDIN : MARS Printemps 2004  n.21","4072004030006","2004-02-24T00:00:00.000Z",,400230,
"L'éCOLE DES PARENTS : FEVRIER MARS 2004 n.1","4052004020009","2004-02-24T00:00:00.000Z",,400231,
"QUE CHOISIR : MARS 2004 n.413","41020040300010","2004-02-24T00:00:00.000Z",,400232,
"60 MILLIONS DE CONSOMMATEURS : MARS 2004 n381","4082004030005","2004-02-24T00:00:00.000Z",,400233,
"SCIENCES ET AVENIR : MARS 2004 n685","4112004030009","2004-02-24T00:00:00.000Z",,400234,
"ORDINATEUR INDIVIDUEL : MARS 2004 n.159","4092004030004","2004-02-24T00:00:00.000Z",,400235,
"GéO : DECEMBRE 2002","4062002120007","2004-02-24T00:00:00.000Z",,400236,
"GéO : JANVIER 2002","4062002010001","2004-02-24T00:00:00.000Z",,400237,
"GéO : MARS 2002","4062002030009","2004-02-24T00:00:00.000Z",,400238,
"GéO : JUIN 2002","4062002060006","2004-02-24T00:00:00.000Z",,400239,
"GéO : AVRIL 2002","4062002040008","2004-02-24T00:00:00.000Z",,400240,
"GéO : MAI 2002","4062002050007","2004-02-24T00:00:00.000Z",,400241,
"GéO : JUILLET 2002","4062002070005","2004-02-24T00:00:00.000Z",,400242,
"GéO : AOUT 2002","4062002080004","2004-02-24T00:00:00.000Z",,400243,
"GéO : SEPTEMBRE 2002","4062002090003","2004-02-24T00:00:00.000Z",,400244,
"GéO : NOVEMBRE 2002","4062002110008","2004-02-24T00:00:00.000Z",,400245,
"GéO : OCTOBRE 2002","4062002100009","2004-02-24T00:00:00.000Z",,400246,
"ORDINATEUR INDIVIDUEL : DECEMBRE 2002 n°145","4092002120004","2004-02-25T00:00:00.000Z",,400247,
"ORDINATEUR INDIVIDUEL : NOVEMBRE 2002 n°144","4092002110005","2004-02-25T00:00:00.000Z",,400248,
"ORDINATEUR INDIVIDUEL : OCTOBRE 2002 n°143","4092002100006","2004-02-25T00:00:00.000Z",,400249,
"ORDINATEUR INDIVIDUEL : SEPTEMBRE 2002 n°142","40920020900010","2004-02-25T00:00:00.000Z",,400250,
"ORDINATEUR INDIVIDUEL : AOUT 2002 N°141","4092002080001","2004-02-25T00:00:00.000Z",,400251,
"L'éCOLE DES PARENTS : DEC 2002-JAN 2003 n°6","4052002120008","2004-02-25T00:00:00.000Z",,400252,
"L'éCOLE DES PARENTS : OCT  - NOV 2002 n°5","40520021000010","2004-02-25T00:00:00.000Z",,400253,
"L'éCOLE DES PARENTS : SEPT 2002 HS n°2","4052002090004","2004-02-25T00:00:00.000Z",,400254,
"L'éCOLE DES PARENTS : AVRIL 2002 n°2","4052002040009","2004-02-25T00:00:00.000Z",,400255,
"L'éCOLE DES PARENTS : MARS 2002 HS n°1","40520020300010","2004-02-25T00:00:00.000Z",,400256,
"L'éCOLE DES PARENTS : FEVRIER 2002 n°1","4052002020001","2004-02-25T00:00:00.000Z",,400257,
"L'éCOLE DES PARENTS : DEC 2001 - JAN 2002 n°6","4052001120009","2004-02-25T00:00:00.000Z",,400258,
"DéTOURS EN FRANCE : JAN - FEV 2002 n°71","4042002020002","2004-02-25T00:00:00.000Z",,400259,
"DéTOURS EN FRANCE : MARS  - AVR 2002 n°72","4042002030001","2004-02-25T00:00:00.000Z",,400260,
"DéTOURS EN FRANCE : MAI 2002 n°73","4042002050009","2004-02-25T00:00:00.000Z",,400261,
"DéTOURS EN FRANCE : SEPT  2002 n°76","4042002090005","2004-02-25T00:00:00.000Z",,400262,
"DéTOURS EN FRANCE : OCT - NOV 2002 n°77","4042002100001","2004-02-25T00:00:00.000Z",,400263,
"SCIENCES ET AVENIR : MARS 2003","41120030300010","2004-03-09T00:00:00.000Z",,400264,
"SCIENCES ET AVENIR : HS 129 JANV 2002","4112002000004","2004-03-09T00:00:00.000Z",,400265,
"SCIENCES ET AVENIR : FEVRIER 2002","4112002020002","2004-03-09T00:00:00.000Z",,400267,
"SCIENCES ET AVENIR : JUIN 2002","4112002060008","2004-03-09T00:00:00.000Z",,400269,
"SCIENCES ET AVENIR : JANVIER 2002","4112002010003","2004-03-09T00:00:00.000Z",,400270,
"SCIENCES ET AVENIR : MARS 2002","4112002030001","2004-03-09T00:00:00.000Z",,400271,
"SCIENCES ET AVENIR : MAI 2002","4112002050009","2004-03-09T00:00:00.000Z",,400272,
"SCIENCES ET AVENIR : AOUT 2002","4112002080006","2004-03-09T00:00:00.000Z",,400273,
"SCIENCES ET AVENIR : SEPTEMBRE 2002","4112002090005","2004-03-09T00:00:00.000Z",,400274,
"SCIENCES ET AVENIR : NOVEMBRE 2002","41120021100010","2004-03-09T00:00:00.000Z",,400275,
"DéTOURS EN FRANCE : MARS 2004 n. 88","4042004030009","2004-03-09T00:00:00.000Z",,400276,
"SCIENCES ET AVENIR : JUILLET 2002","4112002070007","2004-03-09T00:00:00.000Z",,400277,
"ACTION AUTO MOTO : OCTOBRE 2002","4012002100004","2004-03-09T00:00:00.000Z",,400279,
"ACTION AUTO MOTO : SEPTEMBRE 2002","4012002090008","2004-03-09T00:00:00.000Z",,400280,
"ACTION AUTO MOTO : AOUT 2002","4012002080009","2004-03-09T00:00:00.000Z",,400281,
"ACTION AUTO MOTO : JUILLET 2002","40120020700010","2004-03-09T00:00:00.000Z",,400282,
"ACTION AUTO MOTO : MAI 2002","4012002050002","2004-03-09T00:00:00.000Z",,400283,
"ACTION AUTO MOTO : AVRIL 2002","4012002040003","2004-03-09T00:00:00.000Z",,400284,
"ACTION AUTO MOTO : MARS 2002","4012002030004","2004-03-09T00:00:00.000Z",,400285,
"ACTION AUTO MOTO : JAN-FEV 2002","4012002010006","2004-03-09T00:00:00.000Z",,400286,
"L'ÉCOLE DES PARENTS : HORS SERIE n. 1 mars 2004","4052004000001","2004-03-16T00:00:00.000Z",,400287,
